1,2,3,4,5,6,7,8,9,10,11,12
0.2,5.9023,6.1174,-0.30723,0.2,5.1183,5.1183,1.0398,0.2,4.5557,4.5557,2.017
0.3,5.6208,5.9053,0.26922,0.3,5.1183,5.1183,1.0398,0.3,4.5557,4.5557,2.017
0.4,5.4124,5.7539,0.67331,0.4,5.1183,5.1183,1.0398,0.4,4.5557,4.5557,2.017
0.5,5.2469,5.6368,0.98469,0.5,5.1183,5.1183,1.0398,0.5,4.5557,4.5557,2.017
0.6,5.1098,5.5418,1.2382,0.6,4.9927,5.0525,1.2872,0.6,4.5557,4.5557,2.017
0.7,4.993,5.462,1.4522,0.7,4.8851,4.9975,1.4967,0.7,4.5557,4.5557,2.017
0.8,4.8913,5.3934,1.6375,0.8,4.7911,4.9502,1.6784,0.8,4.5557,4.5557,2.017
0.9,4.8014,5.3334,1.801,0.9,4.7078,4.9089,1.8391,0.9,4.5557,4.5557,2.017
1,4.7209,5.2801,1.9474,1,4.633,4.8721,1.9831,1,4.5557,4.5557,2.017
1.1,4.6482,5.2322,2.08,1.1,4.5652,4.8389,2.1138,1.1,4.4919,4.5319,2.1458
1.2,4.5819,5.1888,2.2013,1.2,4.5032,4.8088,2.2334,1.2,4.4336,4.5103,2.2638
1.3,4.5211,5.1492,2.3131,1.3,4.4462,4.7811,2.3437,1.3,4.3798,4.4906,2.3727
1.4,4.4649,5.1127,2.4168,1.4,4.3934,4.7556,2.4461,1.4,4.33,4.4723,2.4739
1.5,4.4128,5.079,2.5136,1.5,4.3444,4.7319,2.5418,1.5,4.2836,4.4553,2.5685
1.6,4.3642,5.0476,2.6044,1.6,4.2986,4.7098,2.6315,1.6,4.2402,4.4395,2.6573
1.7,4.3188,5.0183,2.6898,1.7,4.2557,4.6891,2.716,1.7,4.1995,4.4246,2.7409
1.8,4.2761,4.9909,2.7706,1.8,4.2154,4.6696,2.796,1.8,4.1611,4.4106,2.8201
1.9,4.2359,4.9651,2.8471,1.9,4.1774,4.6512,2.8718,1.9,4.1249,4.3973,2.8952
2,4.198,4.9407,2.92,2,4.1414,4.6338,2.9439,2,4.0907,4.3847,2.9667
2.1,4.162,4.9176,2.9894,2.1,4.1073,4.6173,3.0127,2.1,4.0581,4.3727,3.0349
2.2,4.1279,4.8958,3.0558,2.2,4.0748,4.6015,3.0785,2.2,4.0272,4.3613,3.1001
2.3,4.0955,4.875,3.1194,2.3,4.044,4.5865,3.1416,2.3,3.9977,4.3503,3.1627
2.4,4.0645,4.8552,3.1804,2.4,4.0145,4.5722,3.2021,2.4,3.9695,4.3399,3.2227
2.5,4.035,4.8363,3.2391,2.5,3.9864,4.5584,3.2603,2.5,3.9426,4.3298,3.2805
2.6,4.0068,4.8182,3.2956,2.6,3.9595,4.5453,3.3164,2.6,3.9168,4.3201,3.3361
